active_addresses,day
499649,2025-05-19 00:00:00.000 UTC
536029,2025-05-20 00:00:00.000 UTC
567750,2025-05-21 00:00:00.000 UTC
612815,2025-05-22 00:00:00.000 UTC
571288,2025-05-23 00:00:00.000 UTC
500616,2025-05-24 00:00:00.000 UTC
442796,2025-05-25 00:00:00.000 UTC
516547,2025-05-26 00:00:00.000 UTC
508811,2025-05-27 00:00:00.000 UTC
546094,2025-05-28 00:00:00.000 UTC
542153,2025-05-29 00:00:00.000 UTC
594596,2025-05-30 00:00:00.000 UTC
506670,2025-05-31 00:00:00.000 UTC
452799,2025-06-01 00:00:00.000 UTC
516151,2025-06-02 00:00:00.000 UTC
560812,2025-06-03 00:00:00.000 UTC
545489,2025-06-04 00:00:00.000 UTC
562557,2025-06-05 00:00:00.000 UTC
543871,2025-06-06 00:00:00.000 UTC
473986,2025-06-07 00:00:00.000 UTC
436493,2025-06-08 00:00:00.000 UTC
506841,2025-06-09 00:00:00.000 UTC
558331,2025-06-10 00:00:00.000 UTC
519319,2025-06-11 00:00:00.000 UTC
549163,2025-06-12 00:00:00.000 UTC
567836,2025-06-13 00:00:00.000 UTC
474983,2025-06-14 00:00:00.000 UTC
439668,2025-06-15 00:00:00.000 UTC
527739,2025-06-16 00:00:00.000 UTC
518440,2025-06-17 00:00:00.000 UTC
526044,2025-06-18 00:00:00.000 UTC
501016,2025-06-19 00:00:00.000 UTC
543937,2025-06-20 00:00:00.000 UTC
455626,2025-06-21 00:00:00.000 UTC
434125,2025-06-22 00:00:00.000 UTC
477909,2025-06-23 00:00:00.000 UTC
498970,2025-06-24 00:00:00.000 UTC
515999,2025-06-25 00:00:00.000 UTC
540681,2025-06-26 00:00:00.000 UTC
524378,2025-06-27 00:00:00.000 UTC
457274,2025-06-28 00:00:00.000 UTC
442208,2025-06-29 00:00:00.000 UTC
521130,2025-06-30 00:00:00.000 UTC
542507,2025-07-01 00:00:00.000 UTC
572879,2025-07-02 00:00:00.000 UTC
571345,2025-07-03 00:00:00.000 UTC
527166,2025-07-04 00:00:00.000 UTC
426225,2025-07-05 00:00:00.000 UTC
436194,2025-07-06 00:00:00.000 UTC
493342,2025-07-07 00:00:00.000 UTC
521276,2025-07-08 00:00:00.000 UTC
542075,2025-07-09 00:00:00.000 UTC
605455,2025-07-10 00:00:00.000 UTC
626637,2025-07-11 00:00:00.000 UTC
501977,2025-07-12 00:00:00.000 UTC
466717,2025-07-13 00:00:00.000 UTC
598434,2025-07-14 00:00:00.000 UTC
560370,2025-07-15 00:00:00.000 UTC
542510,2025-07-16 00:00:00.000 UTC
594591,2025-07-17 00:00:00.000 UTC
580676,2025-07-18 00:00:00.000 UTC
477263,2025-07-19 00:00:00.000 UTC
455279,2025-07-20 00:00:00.000 UTC
537793,2025-07-21 00:00:00.000 UTC
519023,2025-07-22 00:00:00.000 UTC
535700,2025-07-23 00:00:00.000 UTC
528796,2025-07-24 00:00:00.000 UTC
577529,2025-07-25 00:00:00.000 UTC
491131,2025-07-26 00:00:00.000 UTC
457111,2025-07-27 00:00:00.000 UTC
529384,2025-07-28 00:00:00.000 UTC
561482,2025-07-29 00:00:00.000 UTC
554144,2025-07-30 00:00:00.000 UTC
584263,2025-07-31 00:00:00.000 UTC
636771,2025-08-01 00:00:00.000 UTC
526685,2025-08-02 00:00:00.000 UTC
462591,2025-08-03 00:00:00.000 UTC
542396,2025-08-04 00:00:00.000 UTC
569615,2025-08-05 00:00:00.000 UTC
665516,2025-08-06 00:00:00.000 UTC
634515,2025-08-07 00:00:00.000 UTC
749937,2025-08-08 00:00:00.000 UTC
591210,2025-08-09 00:00:00.000 UTC
489535,2025-08-10 00:00:00.000 UTC
552695,2025-08-11 00:00:00.000 UTC
543782,2025-08-12 00:00:00.000 UTC
562006,2025-08-13 00:00:00.000 UTC
630372,2025-08-14 00:00:00.000 UTC
555917,2025-08-15 00:00:00.000 UTC
475350,2025-08-16 00:00:00.000 UTC
434866,2025-08-17 00:00:00.000 UTC
506162,2025-08-18 00:00:00.000 UTC
508054,2025-08-19 00:00:00.000 UTC
534875,2025-08-20 00:00:00.000 UTC
536697,2025-08-21 00:00:00.000 UTC
559413,2025-08-22 00:00:00.000 UTC
487008,2025-08-23 00:00:00.000 UTC
443677,2025-08-24 00:00:00.000 UTC
525918,2025-08-25 00:00:00.000 UTC
528701,2025-08-26 00:00:00.000 UTC
526964,2025-08-27 00:00:00.000 UTC
547914,2025-08-28 00:00:00.000 UTC
597525,2025-08-29 00:00:00.000 UTC
495904,2025-08-30 00:00:00.000 UTC
446531,2025-08-31 00:00:00.000 UTC
521196,2025-09-01 00:00:00.000 UTC
544794,2025-09-02 00:00:00.000 UTC
541496,2025-09-03 00:00:00.000 UTC
540434,2025-09-04 00:00:00.000 UTC
587856,2025-09-05 00:00:00.000 UTC
481275,2025-09-06 00:00:00.000 UTC
458586,2025-09-07 00:00:00.000 UTC
511831,2025-09-08 00:00:00.000 UTC
549608,2025-09-09 00:00:00.000 UTC
542026,2025-09-10 00:00:00.000 UTC
537752,2025-09-11 00:00:00.000 UTC
543344,2025-09-12 00:00:00.000 UTC
526151,2025-09-13 00:00:00.000 UTC
494769,2025-09-14 00:00:00.000 UTC
549559,2025-09-15 00:00:00.000 UTC
546259,2025-09-16 00:00:00.000 UTC
517427,2025-09-17 00:00:00.000 UTC
536963,2025-09-18 00:00:00.000 UTC
553194,2025-09-19 00:00:00.000 UTC
535836,2025-09-20 00:00:00.000 UTC
467554,2025-09-21 00:00:00.000 UTC
515741,2025-09-22 00:00:00.000 UTC
506649,2025-09-23 00:00:00.000 UTC
502338,2025-09-24 00:00:00.000 UTC
542098,2025-09-25 00:00:00.000 UTC
